Date,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Taiwan
2020/2/4,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/5,0,0,0,0,0,0,0,1,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020/2/6,0,0,0,0,0,0,0,0,0,0,1,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/7,0,0,0,0,0,1,0,0,1,0,0,1,0,81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/8,0,1,0,0,1,0,0,0,0,0,2,1,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/9,1,0,0,0,1,0,1,0,1,1,1,2,0,91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020/2/10,2,0,0,0,0,0,0,0,0,0,1,0,0,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/11,1,1,1,0,0,0,0,0,0,0,1,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020/2/12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020/2/13,1,0,1,0,0,1,1,0,0,1,1,2,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020/2/14,1,0,1,0,0,0,0,0,0,0,2,1,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/15,0,1,0,0,0,0,0,0,0,0,0,2,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/16,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2020/2/17,0,0,0,0,0,2,0,0,0,0,0,3,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/18,0,0,0,0,0,0,0,1,0,1,0,3,0,132,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020/2/19,0,0,0,0,0,1,0,0,0,0,1,0,1,108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020/2/20,0,0,1,1,0,0,0,0,0,1,0,0,0,115,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
2020/2/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/22,0,0,0,0,0,0,0,0,0,1,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020/2/23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/24,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020/2/25,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
